2025-06-21 22:56:44 | INFO | root | test_login_page.py:23 | === Testing valid login for user: standard_user ===
2025-06-21 22:56:44 | INFO | root | test_login_page.py:32 | Login successful for user: standard_user
2025-06-21 22:56:44 | INFO | root | test_login_page.py:23 | === Testing valid login for user: problem_user ===
2025-06-21 22:56:44 | INFO | root | test_login_page.py:32 | Login successful for user: problem_user
2025-06-21 22:56:44 | INFO | root | test_login_page.py:23 | === Testing valid login for user: performance_glitch_user ===
2025-06-21 22:56:44 | INFO | root | test_login_page.py:32 | Login successful for user: performance_glitch_user
2025-06-21 22:56:44 | INFO | root | test_login_page.py:23 | === Testing valid login for user: error_user ===
2025-06-21 22:56:45 | INFO | root | test_login_page.py:32 | Login successful for user: error_user
2025-06-21 22:56:45 | INFO | root | test_login_page.py:23 | === Testing valid login for user: visual_user ===
2025-06-21 22:56:45 | INFO | root | test_login_page.py:32 | Login successful for user: visual_user
2025-06-21 22:56:50 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: standa123rd_user ===
2025-06-21 22:56:51 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: standa123rd_user
2025-06-21 22:56:51 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: loc34ked_out_user ===
2025-06-21 22:56:51 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: loc34ked_out_user
2025-06-21 22:56:51 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: problem_uerser ===
2025-06-21 22:56:51 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: problem_uerser
2025-06-21 22:56:51 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: per12formance_glitch_user ===
2025-06-21 22:56:52 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: per12formance_glitch_user
2025-06-21 22:56:52 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: er3eror_user ===
2025-06-21 22:56:52 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: er3eror_user
2025-06-21 22:56:52 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: visual_u45ser ===
2025-06-21 22:56:52 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: visual_u45ser
2025-06-22 14:43:14 | INFO | root | test_add_to_cart.py:21 | Logging in with valid credentials.
2025-06-22 14:43:15 | INFO | root | test_add_to_cart.py:26 | Adding first item to cart.
2025-06-22 14:43:15 | INFO | root | test_add_to_cart.py:30 | Item added: Sauce Labs Backpack
2025-06-22 14:43:15 | INFO | root | test_add_to_cart.py:34 | Item found in cart successfully.
2025-06-22 14:50:10 | INFO | root | test_add_to_cart.py:24 | === Testing valid login for user: standard_user ===
2025-06-22 14:50:11 | INFO | root | test_add_to_cart.py:33 | Login successful for user: standard_user
2025-06-22 14:50:11 | INFO | root | test_add_to_cart.py:24 | === Testing valid login for user: problem_user ===
2025-06-22 14:50:11 | INFO | root | test_add_to_cart.py:33 | Login successful for user: problem_user
2025-06-22 14:50:11 | INFO | root | test_add_to_cart.py:24 | === Testing valid login for user: performance_glitch_user ===
2025-06-22 14:50:12 | INFO | root | test_add_to_cart.py:33 | Login successful for user: performance_glitch_user
2025-06-22 14:50:12 | INFO | root | test_add_to_cart.py:24 | === Testing valid login for user: error_user ===
2025-06-22 14:50:12 | INFO | root | test_add_to_cart.py:33 | Login successful for user: error_user
2025-06-22 14:50:12 | INFO | root | test_add_to_cart.py:24 | === Testing valid login for user: visual_user ===
2025-06-22 14:50:12 | INFO | root | test_add_to_cart.py:33 | Login successful for user: visual_user
2025-06-22 14:50:46 | INFO | root | test_add_to_cart.py:40 | Adding first item to cart.
2025-06-22 14:50:53 | INFO | root | test_login_page.py:23 | === Testing valid login for user: standard_user ===
2025-06-22 14:50:53 | INFO | root | test_login_page.py:32 | Login successful for user: standard_user
2025-06-22 14:50:53 | INFO | root | test_login_page.py:23 | === Testing valid login for user: problem_user ===
2025-06-22 14:50:54 | INFO | root | test_login_page.py:32 | Login successful for user: problem_user
2025-06-22 14:50:54 | INFO | root | test_login_page.py:23 | === Testing valid login for user: performance_glitch_user ===
2025-06-22 14:50:54 | INFO | root | test_login_page.py:32 | Login successful for user: performance_glitch_user
2025-06-22 14:50:54 | INFO | root | test_login_page.py:23 | === Testing valid login for user: error_user ===
2025-06-22 14:50:54 | INFO | root | test_login_page.py:32 | Login successful for user: error_user
2025-06-22 14:50:54 | INFO | root | test_login_page.py:23 | === Testing valid login for user: visual_user ===
2025-06-22 14:50:55 | INFO | root | test_login_page.py:32 | Login successful for user: visual_user
2025-06-22 14:51:01 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: standa123rd_user ===
2025-06-22 14:51:02 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: standa123rd_user
2025-06-22 14:51:02 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: loc34ked_out_user ===
2025-06-22 14:51:02 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: loc34ked_out_user
2025-06-22 14:51:02 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: problem_uerser ===
2025-06-22 14:51:03 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: problem_uerser
2025-06-22 14:51:03 | INFO | root | test_login_page.py:41 | === Testing invalid login for user: per12formance_glitch_user ===
2025-06-22 14:51:03 | INFO | root | test_login_page.py:50 | Proper error shown for invalid user: per12formance_glitch_user
